Order_ID,Order_Date,Customer_ID,Product,Category,Quantity,Price,City,Revenue
ORD051,2026-02-25,CUST051,Laptop,Electronics,1.0,72000.0,Hyderabad,72000.0
ORD052,2026-02-26,CUST052,Wireless Mouse,Accessories,2.0,1400.0,Bangalore,2800.0
ORD053,2026-02-27,CUST053,Keyboard,Accessories,,2800.0,Chennai,
ORD054,2026-02-28,CUST054,Monitor,Electronics,1.0,,Mumbai,
ORD055,2026-03-01,CUST055,Headphones,Audio,2.0,4200.0,,8400.0
ORD056,2026-03-02,CUST056,USB Cable,Accessories,4.0,700.0,Pune,2800.0
ORD057,2026-03-03,,Webcam,Electronics,1.0,4500.0,Hyderabad,4500.0
ORD058,2026-03-04,CUST058,External SSD,Storage,1.0,8500.0,Bangalore,8500.0
ORD059,2026-03-05,CUST059,Smartphone,Electronics,,45000.0,Chennai,
ORD060,2026-03-06,CUST060,Power Bank,Accessories,2.0,2100.0,Mumbai,4200.0
ORD061,2026-03-07,CUST061,Laptop Stand,,1.0,2500.0,Delhi,2500.0
ORD062,2026-03-08,CUST062,Mechanical Keyboard,Accessories,1.0,6200.0,Pune,6200.0
ORD063,2026-03-09,CUST063,Bluetooth Speaker,Audio,2.0,,Hyderabad,
ORD064,2026-03-10,CUST064,Tablet,Electronics,1.0,31000.0,Bangalore,31000.0
ORD065,2026-03-11,CUST065,Smart Watch,Wearables,1.0,9200.0,,9200.0
ORD066,2026-03-12,CUST066,Wireless Earbuds,Audio,2.0,4800.0,Mumbai,9600.0
ORD067,2026-03-13,CUST067,HDMI Cable,Accessories,3.0,1000.0,Delhi,3000.0
ORD068,2026-03-14,CUST068,Desk Lamp,Home & Office,,1800.0,Pune,
ORD069,2026-03-15,CUST069,Office Chair,Furniture,1.0,13800.0,Hyderabad,13800.0
ORD070,2026-03-16,CUST070,Mouse Pad,Accessories,2.0,850.0,Bangalore,1700.0
ORD071,2026-03-17,CUST071,Laptop Bag,Bags,1.0,,Chennai,
ORD072,2026-03-18,CUST072,Printer,Electronics,1.0,16800.0,Mumbai,16800.0
ORD073,2026-03-19,CUST073,Ink Cartridge,Printer Supplies,,1950.0,Delhi,
ORD074,2026-03-20,CUST074,Router,Networking,1.0,4600.0,Pune,4600.0
ORD075,2026-03-21,CUST075,Smartphone Case,Accessories,2.0,1100.0,,2200.0
ORD076,2026-03-22,CUST076,Screen Protector,Accessories,3.0,550.0,Hyderabad,1650.0
ORD077,2026-03-23,CUST077,Power Adapter,Accessories,1.0,2600.0,Bangalore,2600.0
ORD078,2026-03-24,,Portable Hard Drive,Storage,1.0,6800.0,Chennai,6800.0
ORD079,2026-03-25,CUST079,Gaming Controller,Gaming,2.0,5200.0,Mumbai,10400.0
ORD080,2026-03-26,CUST080,Microphone,Audio,1.0,7200.0,Delhi,7200.0
ORD081,2026-03-27,CUST081,Smart TV,Electronics,1.0,58000.0,Pune,58000.0
ORD082,2026-03-28,CUST082,Soundbar,Audio,,15500.0,Hyderabad,
ORD083,2026-03-29,CUST083,USB Hub,Accessories,2.0,,Bangalore,
ORD084,2026-03-30,CUST084,Graphics Tablet,Electronics,1.0,7800.0,Chennai,7800.0
ORD085,2026-03-31,CUST085,WiFi Extender,Networking,1.0,3200.0,Mumbai,3200.0
ORD086,2026-04-01,CUST086,Air Purifier,Home Appliances,,12800.0,Delhi,
ORD087,2026-04-02,CUST087,Smart Bulb,Smart Home,4.0,950.0,Pune,3800.0
ORD088,2026-04-03,CUST088,Power Strip,Accessories,2.0,1550.0,,3100.0
ORD089,2026-04-04,CUST089,DSLR Camera,Cameras,1.0,71000.0,Hyderabad,71000.0
ORD090,2026-04-05,CUST090,Camera Tripod,Camera Accessories,1.0,3800.0,Bangalore,3800.0
ORD091,2026-04-06,CUST091,Memory Card,Storage,2.0,1750.0,Chennai,3500.0
ORD092,2026-04-07,CUST092,Smartwatch Strap,Wearables,3.0,,Mumbai,
ORD093,2026-04-08,CUST093,VR Headset,Gaming,1.0,35000.0,Delhi,35000.0
ORD094,2026-04-09,CUST094,Projector,Electronics,,29500.0,Pune,
ORD095,2026-04-10,CUST095,Projector Screen,Home & Office,1.0,7200.0,Hyderabad,7200.0
ORD096,2026-04-11,CUST096,Noise Cancelling Headphones,Audio,1.0,9800.0,,9800.0
ORD097,2026-04-12,CUST097,USB Flash Drive,Storage,4.0,1250.0,Bangalore,5000.0
ORD098,2026-04-13,,Smart Doorbell,Smart Home,1.0,8200.0,Chennai,8200.0
ORD099,2026-04-14,CUST099,Security Camera,Security,2.0,6900.0,Mumbai,13800.0
ORD100,2026-04-15,CUST100,Smart Home Hub,Smart Home,1.0,5900.0,Delhi,5900.0
,,,,,,,,
